产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->酱油,特级酿造酱油,舟山市普陀区金叶消费品综合市场 刘伟 ,浙江市场监管局,合格,2020-06-02,2020年第22期,360ml/瓶 , ,广东美味鲜调味食品有限公司 ,广东省中山市中山火炬开发区厨邦路1号 ,舟山市普陀区金叶消费品综合市场 刘伟 , ,浙江市场监管局,,2020-06-02,,,,,合格,/,http://news.foodmate.net/2020/06/561960.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529507
调味品-->复合调味品,阿蔓昵牛油火锅调料,克拉玛依区阿蔓昵食品加工房 ,新疆市场监管局,合格,2020-06-02,2020年第六期,250 g/瓶 ,/ ,/ ,/ ,克拉玛依区阿蔓昵食品加工房 ,新疆克拉玛依市克拉玛依区东郊路16号 ,新疆市场监管局,,2020-06-02,,,,,合格,,http://news.foodmate.net/2020/06/561925.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529792
调味品-->复合调味品,火锅底料,克拉玛依区好吃火锅底料加工坊 ,新疆市场监管局,合格,2020-06-02,2020年第六期,/ ,/ ,/ ,/ ,克拉玛依区好吃火锅底料加工坊 ,克拉玛依区东郊路18号(东盛小区7-5号) ,新疆市场监管局,,2020-06-02,,,,,合格,,http://news.foodmate.net/2020/06/561925.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529793
调味品-->复合调味品,火锅底料,克拉玛依区润酷火锅底料加工坊 ,新疆市场监管局,合格,2020-06-02,2020年第六期,/ ,/ ,/ ,/ ,克拉玛依区润酷火锅底料加工坊 ,新疆克拉玛依市克拉玛依区东郊路16号(熟食品加工基地45-190号) ,新疆市场监管局,,2020-06-02,,,,,合格,,http://news.foodmate.net/2020/06/561925.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529794
调味品-->复合调味品,石磨芝麻酱,鄯善县老张石磨芝麻油店 ,新疆市场监管局,合格,2020-06-02,2020年第六期,200ml/瓶 ,湘汝 ,/ ,/ ,鄯善县老张石磨芝麻油店 ,新疆吐鲁番市鄯善县鄯善镇铁提尔社区3组（农民小区北十三巷21号） ,新疆市场监管局,,2020-06-02,,,,,合格,,http://news.foodmate.net/2020/06/561925.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529795
调味品-->复合调味品,辣酱,新疆兰映居餐饮管理有限责任公司 ,新疆市场监管局,合格,2020-06-02,2020年第六期,/ ,/ ,/ ,/ ,新疆兰映居餐饮管理有限责任公司 ,新疆乌鲁木齐高新技术产业开发区（新市区）北区银藤街2043号一期A区A7-2号 ,新疆市场监管局,,2020-06-02,,,,,合格,,http://news.foodmate.net/2020/06/561925.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529796
调味品-->食用盐,精制粉洗海盐,桐庐县城南街道陈雷干货店 ,浙江市场监管局,合格,2020-06-02,2020年第22期,400g/袋 , ,江苏省银宝盐业有限公司 ,江苏省盐城市人民南路1号华邦国际大厦东17层 ,桐庐县城南街道陈雷干货店 , ,浙江市场监管局,,2020-06-02,,,,,合格,/,http://news.foodmate.net/2020/06/561960.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529260
调味品-->食用盐,绿色食品海晶盐(粉碎洗涤盐),桐庐县横村镇金彩珠酱菜摊 ,浙江市场监管局,合格,2020-06-02,2020年第22期,400克/袋 , ,山东省广饶明华盐化有限责任公司 ,山东省东营市广饶县盐区 ,桐庐县横村镇金彩珠酱菜摊 , ,浙江市场监管局,,2020-06-02,,,,,合格,/,http://news.foodmate.net/2020/06/561960.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529261
调味品-->食用盐,自然晶盐（加碘食用盐）,华润万家生活超市（浙江）有限公司杭州金沙大道店 ,浙江市场监管局,合格,2020-06-02,2020年第22期,400克/袋 , ,山东昌邑盐化精盐厂 ,昌邑市柳疃镇灶户村北 ,华润万家生活超市（浙江）有限公司杭州金沙大道店 , ,浙江市场监管局,,2020-06-02,,,,,合格,/,http://news.foodmate.net/2020/06/561960.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529266
调味品-->食用盐,加碘精制盐,八字桥农贸市场（德清下渚湖街道志芬副食品店） ,浙江市场监管局,合格,2020-06-02,2020年第22期,400g/袋 , ,湖北长舟盐化有限公司 ,湖北省云梦县城关镇北环路78号 ,八字桥农贸市场（德清下渚湖街道志芬副食品店） , ,浙江市场监管局,,2020-06-02,,,,,合格,/,http://news.foodmate.net/2020/06/561960.html,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=3529270
